A,AtletaID,CA,CV,ClubeID,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,Jogos,PE,PP,Participou,Pontos,PontosMedia,Posicao,Preco,PrecoVariacao,RB,Rodada,SG,Status,ano,avg.A,avg.A.l05,avg.CA,avg.CV.l05,avg.DD,avg.DD.l05,avg.DP,avg.DP.l05,avg.FC,avg.FC.l05,avg.FD,avg.FD.l05,avg.FF,avg.FF.l05,avg.FS,avg.FS.l05,avg.FT,avg.FT.l05,avg.G,avg.G.l05,avg.GC,avg.GC.l05,avg.GS,avg.GS.l05,avg.I,avg.I.l05,avg.PE,avg.PE.l05,avg.PP,avg.PP.l05,avg.Points,avg.RB,avg.RB.l05,avg.SG,avg.SG.l05,avg.last05,away.score.x,dia,home.attack,home.defend,home.score.x,mes,pred.away.score,pred.home.score,risk_points,variable,Target_varPreco,Target_Pontos
0.0,36612,0.0,0.0,Palmeiras,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,True,-0.8,1.62,lat,6.79,-0.77,0.0,12.0,0.0,Nulo,2017,0.0859375,0.0,0.1015625,0.0,0.0,0.0,0.0,0.0,0.59375,1.2,0.1015625,0.0,0.1796875,0.0,0.7734375,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.0,0.0,0.078125,0.0,1.2265625,0.6,0.0,0.0,2.4296875,1.046875,0.2,0.0625,0.2,0.56,1.0,9.0,0.0,0.0,3.0,7.0,0.0,0.0,1.21197726417986,away.team,-0.31,2.7
0.0,36612,0.0,0.0,Palmeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,True,0.0,1.35,lat,6.8,0.01,0.0,13.0,0.0,Nulo,2017,0.0852713178294574,0.0,0.10077519379845,0.0,0.0,0.0,0.0,0.0,0.5891472868217049,1.2,0.10077519379845,0.0,0.17829457364341106,0.0,0.7674418604651159,0.0,0.0,0.0,0.0232558139534884,0.0,0.0,0.0,0.0,0.0,0.0775193798449612,0.0,1.21705426356589,0.6,0.0,0.0,2.41085271317829,1.03875968992248,0.2,0.06201550387596901,0.2,0.56,2.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,1.21197726417986,home.team,0.03,2.5
1.0,36612,0.0,0.0,Palmeiras,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,True,3.4,1.44,lat,7.18,0.46,0.0,15.0,0.0,Dúvida,2017,0.0916030534351145,0.2,0.09923664122137403,0.0,0.0,0.0,0.0,0.0,0.595419847328244,1.6,0.09923664122137403,0.0,0.175572519083969,0.0,0.7557251908396949,0.0,0.0,0.0,0.0229007633587786,0.0,0.0,0.0,0.0,0.0,0.0763358778625954,0.0,1.21374045801527,1.0,0.0,0.0,2.4,1.02290076335878,0.2,0.0610687022900763,0.2,1.24,2.0,19.0,0.0,0.0,2.0,7.0,0.0,0.0,1.5486194568783602,away.team,-0.97,1.7
1.0,36612,0.0,0.0,Palmeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,True,4.7,2.07,lat,7.7,0.16,0.0,18.0,0.0,Provável,2017,0.0970149253731343,0.4,0.0970149253731343,0.0,0.0,0.0,0.0,0.0,0.58955223880597,0.6,0.0970149253731343,0.0,0.171641791044776,0.0,0.7388059701492541,0.0,0.0,0.0,0.0223880597014925,0.0,0.0,0.0,0.0,0.0,0.0746268656716418,0.0,1.19402985074627,0.6,0.0,0.0,2.4149253731343303,1.0,0.0,0.0671641791044776,0.2,2.52,2.0,2.0,0.0,0.0,1.0,8.0,0.0,0.0,2.20564931230894,away.team,-0.86,-1.0
0.0,37604,0.0,0.0,Atlético-PR,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,True,4.4,1.58,zag,4.65,0.57,3.0,11.0,0.0,Nulo,2017,0.0113636363636364,0.0,0.136363636363636,0.0,0.0,0.0,0.0,0.0,0.386363636363636,0.2,0.0681818181818182,0.0,0.0909090909090909,0.0,0.31818181818181795,0.4,0.0,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.0,0.0113636363636364,0.0,1.28409090909091,0.8,0.0,0.0,1.17272727272727,0.30681818181818205,0.6,0.21590909090909105,0.0,0.88,0.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,1.85499326144329,away.team,-1.28,-2.8
0.0,37604,0.0,0.0,Atlético-PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,True,-0.9,0.6,zag,3.48,0.11,0.0,14.0,0.0,Nulo,2017,0.010989010989011,0.0,0.14285714285714302,0.0,0.0,0.0,0.0,0.0,0.384615384615385,0.4,0.0659340659340659,0.0,0.0879120879120879,0.0,0.307692307692308,0.4,0.0,0.0,0.021978021978022,0.0,0.0,0.0,0.0,0.0,0.010989010989011,0.0,1.28571428571429,1.6,0.0,0.0,1.09340659340659,0.29670329670329704,0.6,0.20879120879120894,0.0,0.14,2.0,15.0,0.0,0.0,2.0,7.0,0.0,0.0,1.76462145767552,away.team,1.14,5.7
0.0,37604,0.0,0.0,Atlético-PR,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,True,5.7,1.24,zag,4.62,1.14,0.0,15.0,1.0,Provável,2017,0.0108695652173913,0.0,0.141304347826087,0.0,0.0,0.0,0.0,0.0,0.3804347826086961,0.4,0.0652173913043478,0.0,0.0869565217391304,0.0,0.326086956521739,0.8,0.0,0.0,0.0217391304347826,0.0,0.0,0.0,0.0,0.0,0.0108695652173913,0.0,1.2826086956521698,1.8,0.0,0.0,1.1434782608695702,0.293478260869565,0.6,0.21739130434782605,0.2,1.28,0.0,20.0,0.0,0.0,0.0,7.0,0.0,0.0,2.50989154258816,home.team,-0.98,-0.7
0.0,37604,0.0,0.0,Atlético-PR,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,True,-0.7,1.02,zag,3.64,-0.98,0.0,16.0,0.0,Provável,2017,0.010752688172043,0.0,0.139784946236559,0.0,0.0,0.0,0.0,0.0,0.387096774193548,0.4,0.0752688172043011,0.2,0.0860215053763441,0.0,0.32258064516129,0.4,0.0,0.0,0.021505376344086,0.0,0.0,0.0,0.0,0.0,0.010752688172043,0.0,1.31182795698925,1.8,0.0,0.0,1.12365591397849,0.29032258064516103,0.0,0.21505376344086,0.2,0.26,2.0,23.0,0.0,0.0,0.0,7.0,0.0,0.0,2.5329166323956804,home.team,0.96,5.0
0.0,37604,0.0,0.0,Atlético-PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,True,6.1,1.87,zag,4.94,0.69,1.0,21.0,1.0,Nulo,2017,0.0102040816326531,0.0,0.14285714285714302,0.0,0.0,0.0,0.0,0.0,0.377551020408163,0.2,0.0714285714285714,0.0,0.0816326530612245,0.0,0.306122448979592,0.0,0.0,0.0,0.0204081632653061,0.0,0.0,0.0,0.0,0.0,0.0102040816326531,0.0,1.2755102040816295,0.6,0.0,0.0,1.20204081632653,0.28571428571428603,0.2,0.23469387755102,0.6,2.66,0.0,20.0,0.0,0.0,0.0,8.0,0.0,0.0,3.1156237114117498,away.team,-0.61,1.5
0.0,37604,1.0,0.0,Atlético-PR,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,True,1.5,1.84,zag,4.33,-0.61,3.0,22.0,0.0,Provável,2017,0.0101010101010101,0.0,0.15151515151515196,0.0,0.0,0.0,0.0,0.0,0.393939393939394,0.6,0.0707070707070707,0.0,0.0808080808080808,0.0,0.303030303030303,0.0,0.0,0.0,0.0202020202020202,0.0,0.0,0.0,0.0,0.0,0.0101010101010101,0.0,1.28282828282828,1.0,0.0,0.0,1.2050505050505,0.313131313131313,0.8,0.232323232323232,0.4,1.96,0.0,27.0,0.0,0.0,2.0,8.0,0.0,0.0,2.73595402820377,away.team,0.52,4.2
