,Unnamed: 0,AtletaID,Rodada,Prev_Pontos,A,CA,CV,ClubeID,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,Jogos,PE,PP,Participou,Pontos,PontosMedia,Posicao,Preco,PrecoVariacao,RB,SG,Status,ano,avg.A,avg.A.l05,avg.CA,avg.CV.l05,avg.DD,avg.DD.l05,avg.DP,avg.DP.l05,avg.FC,avg.FC.l05,avg.FD,avg.FD.l05,avg.FF,avg.FF.l05,avg.FS,avg.FS.l05,avg.FT,avg.FT.l05,avg.G,avg.G.l05,avg.GC,avg.GC.l05,avg.GS,avg.GS.l05,avg.I,avg.I.l05,avg.PE,avg.PE.l05,avg.PP,avg.PP.l05,avg.Points,avg.RB,avg.RB.l05,avg.SG,avg.SG.l05,avg.last05,away.score.x,dia,home.attack,home.defend,home.score.x,mes,pred.away.score,pred.home.score,risk_points,variable,Target_varPreco,Target_Pontos,Prev_Preco
3334,3334,73635,34.0,0.12281525,0.0,1.0,0.0,Coritiba,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,True,-0.4,3.95,ata,8.76,-0.22,1.0,0.0,Provável,2017,0.0133333333333333,0.0,0.0466666666666667,0.0,0.0,0.0,0.0,0.0,0.4133333333333329,1.2,0.10666666666666699,0.4,0.16,0.2,1.26666666666667,2.4,0.0,0.0,0.06,0.2,0.0,0.0,0.0,0.0,0.146666666666667,0.2,0.893333333333333,1.4,0.0,0.0,1.256,0.293333333333333,1.2,0.0,0.0,3.46,1.0,12.0,0.0,0.0,1.0,11.0,0.0,0.0,4.30195046203205,home.team,-0.58,-3.6,0.38775527
3335,3335,73635,37.0,0.13246721,0.0,0.0,0.0,Coritiba,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,0.0,True,2.2,3.66,ata,9.02,0.84,1.0,0.0,Provável,2017,0.0130718954248366,0.0,0.0522875816993464,0.0,0.0,0.0,0.0,0.0,0.444444444444444,1.8,0.10457516339869302,0.2,0.16993464052287602,0.4,1.26797385620915,1.4,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.14379084967320302,0.0,0.9084967320261441,1.4,0.0,0.0,1.22222222222222,0.294117647058824,0.6,0.0,0.0,-0.32,2.0,26.0,0.0,0.0,1.0,11.0,0.0,0.0,3.89620898367175,home.team,-0.29,0.8,0.17666918
3336,3336,73649,4.0,0.23415712,0.0,0.0,0.0,São Paulo,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,True,1.5,5.98,ata,15.09,-1.84,0.0,0.0,Provável,2017,0.0617283950617284,0.2,0.0246913580246914,0.0,0.0,0.0,0.0,0.0,0.6913580246913579,1.0,0.5185185185185179,0.8,0.54320987654321,1.0,0.753086419753086,0.6,0.0740740740740741,0.0,0.20987654320987692,0.4,0.0,0.0,0.0,0.0,0.185185185185185,0.2,1.8641975308642,3.2,0.0,0.0,2.94567901234568,0.33333333333333304,0.2,0.0,0.0,4.78,0.0,4.0,0.0,0.0,1.0,6.0,0.0,0.0,6.06722524900982,away.team,3.91,17.7,0.31169915
3337,3337,73649,5.0,0.14760109999999999,1.0,0.0,0.0,São Paulo,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,True,17.7,8.32,ata,19.0,3.91,1.0,0.0,Provável,2017,0.0731707317073171,0.4,0.024390243902439,0.0,0.0,0.0,0.0,0.0,0.695121951219512,1.2,0.548780487804878,1.4,0.5609756097560981,1.4,0.74390243902439,0.6,0.0731707317073171,0.0,0.21951219512195105,0.6,0.0,0.0,0.0,0.0,0.182926829268293,0.2,1.8780487804877999,3.8,0.0,0.0,3.12560975609756,0.34146341463414603,0.4,0.0,0.0,8.32,0.0,8.0,0.0,0.0,2.0,6.0,0.0,0.0,7.424254545444652,home.team,-2.29,2.1,-0.66768646
3338,3338,73649,6.0,0.36043084,0.0,0.0,0.0,São Paulo,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,True,2.1,7.28,ata,16.71,-2.29,1.0,0.0,Provável,2017,0.07228915662650601,0.4,0.0240963855421687,0.0,0.0,0.0,0.0,0.0,0.710843373493976,1.6,0.55421686746988,1.6,0.566265060240964,1.6,0.7349397590361451,0.6,0.07228915662650601,0.0,0.216867469879518,0.6,0.0,0.0,0.0,0.0,0.180722891566265,0.2,1.86746987951807,4.0,0.0,0.0,3.1132530120481903,0.3493975903614461,0.6,0.0,0.0,9.22,2.0,11.0,0.0,0.0,3.0,6.0,0.0,0.0,7.22373402980296,away.team,-0.62,0.9,0.22214529
3339,3339,73649,7.0,0.3700828,0.0,0.0,0.0,São Paulo,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,True,0.9,6.37,ata,16.09,-0.62,1.0,0.0,Provável,2017,0.0714285714285714,0.4,0.0238095238095238,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,1.4,0.547619047619048,1.6,0.5714285714285711,1.6,0.7380952380952379,0.8,0.0714285714285714,0.0,0.214285714285714,0.6,0.0,0.0,0.0,0.0,0.178571428571429,0.2,1.9047619047619,3.6,0.0,0.0,3.08690476190476,0.3571428571428571,0.8,0.0,0.0,7.66,0.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,7.16863538850549,away.team,-0.02,2.1,0.2842481
3340,3340,73649,8.0,0.16126096,0.0,0.0,0.0,São Paulo,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,True,2.1,5.84,ata,16.07,-0.02,0.0,0.0,Provável,2017,0.0705882352941176,0.2,0.0235294117647059,0.0,0.0,0.0,0.0,0.0,0.7294117647058821,1.6,0.5411764705882349,1.2,0.6235294117647061,2.2,0.741176470588235,0.6,0.0705882352941176,0.0,0.211764705882353,0.2,0.0,0.0,0.0,0.0,0.17647058823529396,0.2,1.9176470588235301,3.0,0.0,0.0,3.07529411764706,0.3529411764705879,0.6,0.0,0.0,4.86,2.0,18.0,0.0,0.0,1.0,6.0,0.0,0.0,7.05329710135622,home.team,-1.1,-2.2,0.23786789
3341,3341,73649,9.0,0.22450516,0.0,1.0,0.0,São Paulo,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,True,-2.2,4.95,ata,14.97,-1.1,0.0,0.0,Provável,2017,0.0697674418604651,0.2,0.0348837209302326,0.0,0.0,0.0,0.0,0.0,0.7441860465116279,1.6,0.534883720930233,0.8,0.63953488372093,2.2,0.7325581395348841,0.4,0.0697674418604651,0.0,0.209302325581395,0.2,0.0,0.0,0.0,0.0,0.174418604651163,0.0,1.91860465116279,2.8,0.0,0.0,3.0139534883720898,0.348837209302326,0.6,0.0,0.0,4.12,0.0,21.0,0.0,0.0,1.0,6.0,0.0,0.0,7.24680006010316,away.team,0.92,3.8,0.42270756
3342,3342,73649,10.0,0.151609,0.0,0.0,0.0,São Paulo,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,True,3.8,4.84,ata,15.89,0.92,1.0,0.0,Provável,2017,0.0689655172413793,0.0,0.0344827586206897,0.0,0.0,0.0,0.0,0.0,0.7471264367816091,1.6,0.528735632183908,0.2,0.655172413793103,2.2,0.7586206896551719,1.0,0.0689655172413793,0.0,0.206896551724138,0.0,0.0,0.0,0.0,0.0,0.172413793103448,0.0,1.90804597701149,2.4,0.0,0.0,3.0229885057471297,0.35632183908046,0.6,0.0,0.0,1.34,1.0,25.0,0.0,0.0,1.0,6.0,0.0,0.0,7.08536049423975,home.team,0.01,3.9,0.14125782
3343,3343,73649,11.0,0.23415712,0.0,0.0,0.0,São Paulo,0.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,True,3.9,4.75,ata,15.9,0.01,0.0,0.0,Provável,2017,0.0681818181818182,0.0,0.0340909090909091,0.0,0.0,0.0,0.0,0.0,0.75,1.4,0.545454545454545,0.4,0.693181818181818,2.8,0.7613636363636359,1.2,0.0681818181818182,0.0,0.20454545454545492,0.0,0.0,0.0,0.0,0.0,0.17045454545454505,0.0,1.92045454545455,2.8,0.0,0.0,3.0329545454545497,0.352272727272727,0.4,0.0,0.0,1.7,0.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,6.636967178865159,away.team,-2.09,-6.4,0.16321483
3344,3344,73649,12.0,0.21301064,0.0,1.0,0.0,São Paulo,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,1.0,True,-6.4,3.82,ata,13.81,-2.09,0.0,0.0,Provável,2017,0.0674157303370786,0.0,0.0449438202247191,0.0,0.0,0.0,0.0,0.0,0.764044943820225,1.6,0.539325842696629,0.4,0.696629213483146,2.8,0.764044943820225,1.2,0.0674157303370786,0.0,0.202247191011236,0.0,0.0,0.0,0.0,0.0,0.179775280898876,0.2,1.9213483146067398,2.2,0.0112359550561798,0.2,2.9269662921348303,0.348314606741573,0.2,0.0,0.0,0.24,2.0,9.0,0.0,0.0,3.0,7.0,0.0,0.0,7.4818669684333,away.team,2.58,9.0,0.5271906
3345,3345,73649,13.0,0.16126096,0.0,0.0,0.0,São Paulo,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,13.0,5.0,0.0,True,9.0,4.22,ata,16.39,2.58,0.0,0.0,Provável,2017,0.0666666666666667,0.0,0.0444444444444444,0.0,0.0,0.0,0.0,0.0,0.766666666666667,1.4,0.555555555555556,0.8,0.6888888888888891,1.8,0.7777777777777779,1.4,0.0666666666666667,0.0,0.211111111111111,0.2,0.0,0.0,0.0,0.0,0.17777777777777806,0.2,1.95555555555556,2.6,0.0111111111111111,0.2,2.99444444444444,0.34444444444444394,0.2,0.0,0.0,1.62,2.0,13.0,0.0,0.0,2.0,7.0,0.0,0.0,6.46910606910517,home.team,-0.95,2.7,-0.23556304
